"Barcode","RouteCode","WorkCenterCode","JobDate","ProdQty","CompleteRoute","ProdDateTime"
"VVQQ103R060669","V-26","VVT_F1","2026-08-12","500.00000","1","2026-08-13 14:47:36"
"VVQQ143R060605","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 14:55:44"
"VVQQ143R060614","V-26","VVT_F1","2026-08-12","500.00000","1","2026-08-13 03:50:25"
"VVQQ143R060631","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 19:08:11"
"VVQQ143R060634","V-26","VVT_F1","2026-08-12","500.00000","1","2026-08-12 16:09:35"
"VVQQ143R060636","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 22:49:34"
"VVQQ143R060647","V-26","VVT_F1","2026-08-12","500.00000","1","2026-08-13 06:53:16"
"VVQQ143R060650","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 20:33:30"
"VVQQ143R060652","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 20:33:19"
"VVQQ143R060657","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-13 00:23:51"
"VVQQ143R060659","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 20:32:51"
"VVQQ143R060661","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 17:46:25"
"VVQQ143R060663","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-13 02:43:21"
"VVQQ143R060664","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-13 05:14:38"
"VVQQ143R060665","V-26","VVT_F1","2026-08-12","493.00000","1","2026-08-12 20:31:56"
"VVQQ143R060666","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 20:33:03"
"VVQQ143R060667","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 16:09:23"
"VVQQ143R060668","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-13 03:51:04"
"VVQQ143R060669","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-13 00:23:24"
"VVQQ143R060670","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 22:49:08"
"VVQQ143R060672","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-13 00:22:51"
"VVQQ143R060673","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 17:46:36"
"VVQQ143R060674","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 20:32:09"
"VVQQ143R060675","V-26","VVT_F1","2026-08-12","494.00000","1","2026-08-12 19:07:44"
"VVQQ143R060676","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 15:08:37"
"VVQQ143R060677","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-13 01:52:14"
"VVQQ143R060678","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 16:09:14"
"VVQQ143R060679","V-26","VVT_F1","2026-08-12","500.00000","1","2026-08-13 08:38:27"
"VVQQ143R060684","V-26","VVT_F1","2026-08-12","494.00000","1","2026-08-12 19:07:56"
"VVQQ143R060686","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-13 04:50:25"
"VVQQ143R060687","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-13 04:50:47"
"VVQQ143R060689","V-26","VVT_F1","2026-08-12","494.00000","1","2026-08-13 04:16:57"
"VVQQ143R060691","V-26","VVT_F1","2026-08-12","500.00000","1","2026-08-13 06:53:41"
"VVQQ143R060692","V-26","VVT_F1","2026-08-12","500.00000","1","2026-08-13 07:09:17"
"VVQQ143R060693","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-13 07:08:59"
"VVQQ143R060694","V-26","VVT_F1","2026-08-12","500.00000","1","2026-08-13 02:43:55"
"VVQQ153R060601","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-13 07:09:34"
"VVQQ153R060602","V-26","VVT_F1","2026-08-12","497.00000","1","2026-08-12 15:25:54"
"VVQQ153R060639","V-26","VVT_F1","2026-08-12","500.00000","1","2026-08-13 01:51:59"
"VVQQ153R060640","V-26","VVT_F1","2026-08-12","500.00000","1","2026-08-13 01:51:43"
"VVQQ053R072711","V-26_HY","VVT_F5","2026-08-12","1065.00000","","2026-08-13 06:13:26"
"VVQQ063R072720","V-26_HY","VVT_F5","2026-08-12","1039.00000","","2026-08-12 16:16:08"
"VVQQ063R072722","V-26_HY","VVT_F5","2026-08-12","1059.00000","","2026-08-12 16:15:33"
"VVQQ073R072710","V-26_HY","VVT_F5","2026-08-12","1050.00000","","2026-08-12 21:28:37"
"VVQQ073R072714","V-26_HY","VVT_F5","2026-08-12","1047.00000","","2026-08-12 18:02:25"
"VVQQ093R072726","V-26_HY","VVT_F5","2026-08-12","1058.00000","","2026-08-12 18:03:47"
"VVQQ103R072714","V-26_HY","VVT_F5","2026-08-12","1056.00000","","2026-08-12 11:34:10"
"VVQQ103R072727","V-26_HY","VVT_F5","2026-08-12","1055.00000","","2026-08-12 21:12:03"
"VVQQ052R710622","V-26","VVT_F1","2026-08-13","1963.99997","1","2026-08-13 18:52:46"
"VVQQ073R072733","V-26","VVT_F1","2026-08-13","1068.00000","","2026-08-14 06:28:31"
"VVQQ113R060649","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-14 01:46:44"
"VVQQ113R060650","V-26","VVT_F1","2026-08-13","494.00000","","2026-08-13 17:51:56"
"VVQQ113R060654","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-14 02:35:25"
"VVQQ113R060658","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-14 02:41:58"
"VVQQ143R060658","V-26","VVT_F1","2026-08-13","493.00000","1","2026-08-13 19:34:14"
"VVQQ143R060662","V-26","VVT_F1","2026-08-13","493.00000","1","2026-08-13 16:58:37"
"VVQQ143R060680","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 23:13:29"
"VVQQ143R060681","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-13 20:56:58"
"VVQQ143R060682","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 16:59:08"
"VVQQ143R060683","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 11:14:30"
"VVQQ143R060685","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 11:13:44"
"VVQQ143R060688","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-13 20:56:36"
"VVQQ143R060690","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-14 01:45:02"
"VVQQ143R060695","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-13 19:27:18"
"VVQQ143R060696","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 15:54:48"
"VVQQ143R060697","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-14 01:45:54"
"VVQQ143R060698","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-13 20:57:20"
"VVQQ153R060641","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-14 01:45:28"
"VVQQ153R060643","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 11:14:14"
"VVQQ153R060645","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-13 16:58:58"
"VVQQ153R0606A0","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 16:58:48"
"VVQQ153R0606A3","V-26","VVT_F1","2026-08-13","494.00000","1","2026-08-13 19:27:35"
"VVQQ153R0606A4","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 11:13:55"
"VVQQ153R0606A5","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-13 17:51:54"
"VVQQ153R0606A6","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-13 17:51:45"
"VVQQ153R0606A7","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 11:14:05"
"VVQQ153R0606A8","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-14 01:46:20"
"VVQQ153R0606AA","V-26","VVT_F1","2026-08-13","485.00000","1","2026-08-15 19:24:48"
"VVQQ153R0606AG","V-26","VVT_F1","2026-08-13","497.00000","1","2026-08-13 23:01:47"
"VVQQ153R0606AM","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 14:49:13"
"VVQQ173R060619","V-26","VVT_F1","2026-08-13","498.00000","1","2026-08-14 12:29:42"
"VVQQ173R060622","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 15:54:24"
"VVQQ173R060675","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 15:54:03"
"VVQQ173R060677","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 15:54:35"
"VVQQ173R060678","V-26","VVT_F1","2026-08-13","494.00000","1","2026-08-13 20:57:35"
"VVQQ193R060601","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 15:54:13"
"VVQQ193R060602","V-26","VVT_F1","2026-08-13","500.00000","1","2026-08-13 23:03:04"
"VVQO153R072712","V-26_BG","VVT_F5","2026-08-13","1074.00000","1","2026-08-13 10:48:44"
"VVQO153R072714","V-26_BG","VVT_F5","2026-08-13","1070.99999","1","2026-08-13 12:17:51"
"VVQO153R072727","V-26_BG","VVT_F5","2026-08-13","1073.00000","1","2026-08-13 16:51:19"
"VVQO163R072709","V-26_BG","VVT_F5","2026-08-13","1057.00000","1","2026-08-13 16:06:04"
"VVQO173R072751","V-26_BG","VVT_F5","2026-08-13","1039.00000","1","2026-08-13 18:55:53"
"VVQO183R072714","V-26_BG","VVT_F5","2026-08-13","1064.00000","1","2026-08-13 13:46:20"
"VVQO183R072716","V-26_BG","VVT_F5","2026-08-13","1064.00000","1","2026-08-13 16:14:42"
"VVQO193R072713","V-26_BG","VVT_F5","2026-08-13","1061.99990","1","2026-08-13 10:59:37"
"VVQO193R072734","V-26_BG","VVT_F5","2026-08-13","1034.99999","1","2026-08-13 16:52:16"
"VVQO193R072761","V-26_BG","VVT_F5","2026-08-13","1051.00000","1","2026-08-13 15:43:09"
"VVQQ053R072724","V-26","VVT_F5","2026-08-13","1068.00000","1","2026-08-13 16:27:07"
"VVQQ053R072725","V-26","VVT_F5","2026-08-13","1071.00000","1","2026-08-13 16:27:33"
"VVQQ053R072726","V-26","VVT_F5","2026-08-13","1065.00000","1","2026-08-13 16:26:50"
"VVQQ053R072727","V-26","VVT_F5","2026-08-13","1065.00000","1","2026-08-13 18:37:14"
"VVQQ063R072705","V-26_HY","VVT_F5","2026-08-13","1053.00000","1","2026-08-13 18:22:34"
"VVQQ073R072701","V-26","VVT_F5","2026-08-13","1064.00000","1","2026-08-13 16:26:35"
"VVQQ073R072718","V-26","VVT_F5","2026-08-13","1074.00000","1","2026-08-13 18:36:21"
"VVQQ073R072727","V-26","VVT_F5","2026-08-13","1067.00000","1","2026-08-13 18:35:36"
"VVQQ073R072729","V-26","VVT_F5","2026-08-13","1067.00000","1","2026-08-13 10:18:38"
"VVQQ173R060605","V-26","VVT_F1","2026-08-14","500.00000","1","2026-08-14 20:44:53"
"VVQQ173R060606","V-26","VVT_F1","2026-08-14","492.00000","1","2026-08-14 23:33:29"
"VVQQ173R060607","V-26","VVT_F1","2026-08-14","497.00000","1","2026-08-14 20:39:10"
"VVQQ173R060609","V-26","VVT_F1","2026-08-14","497.00000","1","2026-08-14 20:47:58"
"VVQQ173R060610","V-26","VVT_F1","2026-08-14","500.00000","1","2026-08-14 12:35:25"
"VVQQ173R060612","V-26","VVT_F1","2026-08-14","500.00000","1","2026-08-15 02:57:43"
"VVQQ173R060613","V-26","VVT_F1","2026-08-14","493.00000","1","2026-08-15 02:58:08"
"VVQQ173R060614","V-26","VVT_F1","2026-08-14","500.00000","1","2026-08-14 12:35:10"
"VVQQ173R060615","V-26","VVT_F1","2026-08-14","494.00000","1","2026-08-15 01:37:30"
"VVQQ173R060617","V-26","VVT_F1","2026-08-14","500.00000","1","2026-08-14 12:36:11"
"VVQQ173R060618","V-26","VVT_F1","2026-08-14","497.00000","1","2026-08-14 15:31:45"
"VVQQ173R060620","V-26","VVT_F1","2026-08-14","500.00000","1","2026-08-14 20:44:42"
"VVQQ173R060621","V-26","VVT_F1","2026-08-14","500.00000","1","2026-08-14 12:38:15"
"VVQQ173R060672","V-26","VVT_F1","2026-08-14","497.00000","1","2026-08-14 15:32:04"
"VVQQ173R060682","V-26","VVT_F1","2026-08-14","497.00000","1","2026-08-14 17:42:53"
"VVQQ063R072730","V-26","VVT_F5","2026-08-14","1071.00000","1","2026-08-14 18:55:00"
"VVQQ073R072702","V-26","VVT_F5","2026-08-14","1065.00000","1","2026-08-14 18:54:20"
"VVQQ073R072720","V-26","VVT_F5","2026-08-14","1073.00000","1","2026-08-14 18:55:18"
"VVQQ073R072731","V-26","VVT_F5","2026-08-14","1066.00000","1","2026-08-14 18:59:02"
"VVQQ073R072732","V-26","VVT_F5","2026-08-14","1066.00000","1","2026-08-14 16:28:00"
"VVQQ083R072708","V-26","VVT_F5","2026-08-14","1073.00000","1","2026-08-14 18:36:47"
"VVQQ093R072715","V-26","VVT_F5","2026-08-14","1064.00000","1","2026-08-14 18:54:41"
"VVQQ103R072713","V-26_HY","VVT_F5","2026-08-14","1065.00000","1","2026-08-14 21:02:58"
"VVQQ103R072724","V-26_HY","VVT_F5","2026-08-14","1060.00000","1","2026-08-14 10:56:02"
"VVQQ103R072725","V-26_HY","VVT_F5","2026-08-14","1051.00000","1","2026-08-14 18:55:18"
"VVQQ103R072726","V-26_HY","VVT_F5","2026-08-14","1055.00000","1","2026-08-14 10:57:04"
"VVQQ113R060664","V-26","VVT_F5","2026-08-14","500.00000","1","2026-08-14 18:01:01"
"VVQQ113R072715","V-26_HY","VVT_F5","2026-08-14","1050.00000","1","2026-08-14 17:16:55"
"VVQQ113R072716","V-26_HY","VVT_F5","2026-08-14","1053.00000","1","2026-08-14 15:01:13"
"VVQQ113R072717","V-26_HY","VVT_F5","2026-08-14","1043.00000","1","2026-08-14 21:55:52"
"VVQQ113R072724","V-26_HY","VVT_F5","2026-08-14","1055.00000","1","2026-08-14 17:08:01"
"VVQQ123R072718","V-26_HY","VVT_F5","2026-08-14","1045.00000","1","2026-08-14 13:10:57"
"VVQQ123R072719","V-26_HY","VVT_F5","2026-08-14","1049.00000","1","2026-08-14 15:07:21"
"VVQQ123R072726","V-26_HY","VVT_F5","2026-08-14","1055.00000","1","2026-08-14 15:08:06"
"VVQQ123R072727","V-26_HY","VVT_F5","2026-08-14","1050.00000","1","2026-08-14 21:26:02"
"VVQQ123R072732","V-26_HY","VVT_F5","2026-08-14","1059.00000","1","2026-08-14 20:29:04"
"VVQQ123R072733","V-26_HY","VVT_F5","2026-08-14","1051.00000","1","2026-08-14 17:54:58"
"VVQQ133R060618","V-26","VVT_F5","2026-08-14","500.00000","1","2026-08-14 15:37:24"
"VVQQ133R060627","V-26","VVT_F5","2026-08-14","494.00000","1","2026-08-14 20:38:30"
"VVQQ133R060628","V-26","VVT_F5","2026-08-14","497.00000","1","2026-08-14 20:40:48"
"VVQQ133R060640","V-26","VVT_F5","2026-08-14","491.00000","1","2026-08-14 18:45:40"
"VVQQ133R072717","V-26_HY","VVT_F5","2026-08-14","1008.00000","1","2026-08-14 14:41:53"
"VVQQ133R072719","V-26_HY","VVT_F5","2026-08-14","1055.00000","1","2026-08-14 14:15:38"
"VVQQ133R072720","V-26_HY","VVT_F5","2026-08-14","1036.00000","1","2026-08-14 16:51:48"
"VVQQ133R072727","V-26_HY","VVT_F5","2026-08-14","1059.00000","1","2026-08-14 15:05:26"
"VVQQ143R060699","V-26","VVT_F5","2026-08-14","500.00000","1","2026-08-14 13:21:20"
"VVQQ143R072709","V-26_HY","VVT_F5","2026-08-14","1054.00000","1","2026-08-14 17:26:39"
"VVQQ143R072715","V-26_HY","VVT_F5","2026-08-14","996.00000","1","2026-08-14 14:42:29"
"VVQQ153R060642","V-26","VVT_F5","2026-08-14","500.00000","1","2026-08-14 13:20:38"
"VVQQ153R060644","V-26","VVT_F5","2026-08-14","497.00000","1","2026-08-14 13:25:11"
"VVQQ153R060651","V-26","VVT_F5","2026-08-14","500.00000","1","2026-08-14 12:35:38"
"VVQQ153R060652","V-26","VVT_F5","2026-08-14","500.00000","1","2026-08-14 18:00:26"
"VVQQ153R06069Z","V-26","VVT_F5","2026-08-14","500.00000","1","2026-08-14 18:15:39"
"VVQQ153R0606A1","V-26","VVT_F5","2026-08-14","500.00000","1","2026-08-14 13:25:01"
"VVQQ153R0606A2","V-26","VVT_F5","2026-08-14","497.00000","1","2026-08-14 18:00:37"
"VVQQ153R0606AB","V-26","VVT_F5","2026-08-14","497.00000","1","2026-08-14 23:34:30"
"VVQQ153R0606AC","V-26","VVT_F5","2026-08-14","500.00000","1","2026-08-14 11:36:56"
"VVQQ153R0606AD","V-26","VVT_F5","2026-08-14","497.00000","1","2026-08-14 23:34:04"
"VVQQ153R0606AF","V-26","VVT_F5","2026-08-14","495.00000","1","2026-08-14 13:16:48"
"VVQQ153R0606AH","V-26","VVT_F5","2026-08-14","497.00000","1","2026-08-14 23:32:58"
"VVQQ153R0606AL","V-26","VVT_F5","2026-08-14","500.00000","1","2026-08-14 15:37:42"
"VVQQ153R0606AN","V-26","VVT_F5","2026-08-14","500.00000","1","2026-08-14 17:43:06"
"VVQQ173R060601","V-26","VVT_F5","2026-08-14","497.00000","1","2026-08-14 20:39:35"
"VVQQ173R060602","V-26","VVT_F5","2026-08-14","497.00000","1","2026-08-14 12:58:29"
"VVQQ173R060604","V-26","VVT_F5","2026-08-14","497.00000","1","2026-08-14 11:37:13"
"VVQQ083R072711","V-26","VVT_F1","2026-08-15","1073.00000","","2026-08-15 09:04:45"
"VVQQ093R072710","V-26","VVT_F1","2026-08-15","1065.00000","","2026-08-15 09:02:23"
"VVQQ093R072711","V-26","VVT_F1","2026-08-15","1067.00000","","2026-08-15 17:05:20"
"VVQQ103R072702","V-26","VVT_F1","2026-08-15","1065.00000","","2026-08-16 06:01:49"
"VVQQ103R072704","V-26","VVT_F1","2026-08-15","1071.00000","","2026-08-16 06:02:06"
"VVQQ103R072719","V-26","VVT_F1","2026-08-15","1068.00000","","2026-08-15 09:05:11"
"VVQQ123R072708","V-26","VVT_F1","2026-08-15","1070.00000","","2026-08-16 06:00:56"
"VVQQ133R060651","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 16:18:23"
"VVQQ133R060654","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 16:25:38"
"VVQQ133R060658","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 23:35:37"
"VVQQ133R060660","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 16:18:00"
"VVQQ133R060661","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 20:43:06"
"VVQQ133R060662","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-17 16:38:02"
"VVQQ133R060666","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 20:43:52"
"VVQQ133R060668","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-16 01:50:17"
"VVQQ133R060669","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 16:17:51"
"VVQQ133R060670","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 20:43:43"
"VVQQ133R060672","V-26","VVT_F1","2026-08-15","494.00000","1","2026-08-16 14:05:18"
"VVQQ133R060673","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 22:42:31"
"VVQQ133R060675","V-26","VVT_F1","2026-08-15","494.00000","1","2026-08-16 13:43:52"
"VVQQ133R060676","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 21:12:08"
"VVQQ133R060677","V-26","VVT_F1","2026-08-15","494.00000","1","2026-08-15 20:44:27"
"VVQQ133R060680","V-26","VVT_F1","2026-08-15","494.00000","1","2026-08-16 01:50:31"
"VVQQ133R060681","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 22:42:12"
"VVQQ133R060683","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 23:34:58"
"VVQQ133R060684","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 20:44:54"
"VVQQ133R060685","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-16 00:40:24"
"VVQQ133R060686","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 16:18:14"
"VVQQ133R060687","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-16 13:45:00"
"VVQQ133R060688","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-17 16:39:21"
"VVQQ133R060691","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-17 17:14:50"
"VVQQ133R060692","V-26","VVT_F1","2026-08-15","500.00000","","2026-08-15 20:08:56"
"VVQQ153R060646","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 11:30:22"
"VVQQ153R060647","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 13:15:18"
"VVQQ153R060648","V-26","VVT_F1","2026-08-15","484.99999","1","2026-08-15 13:15:47"
"VVQQ153R060649","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 11:31:00"
"VVQQ153R060650","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 13:14:43"
"VVQQ153R0606A9","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 19:24:33"
"VVQQ153R0606AE","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 13:16:15"
"VVQQ153R0606AI","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 11:30:48"
"VVQQ153R0606AJ","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 13:15:07"
"VVQQ153R0606AK","V-26","VVT_F1","2026-08-15","490.99999","1","2026-08-15 09:39:55"
"VVQQ173R060603","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 11:30:37"
